id,date,phones_num,phb_fraud,phb_dirty,phb_all_bad,phb_all,phb_bad_perc,found_phones,phb_fraud_dir,phb_dirty_dir,phb_all_bad_dir,phb_all_dir,phb_bad_perc_dir,found_phones_dir,claims_percent,claims_num,appl_num,complaints_num,complaints_num_dir,mvd_request_num,bad_rep_tcb,total_case_cnt,total_defendant_case_cnt,total_defendant_case_amt,defendant_case_perc,rating_ya,ratings_cnt_ya,reviews_cnt_ya,rating_yell,reviews_cnt_yell,rating_2gis,reviews_cnt_2gis,rating_avito,reviews_cnt_avito
a782615660478a,2022-10-30 00:00:00,1,0.0,2.0,2.0,1498.0,0.13,1.0,0.0,0.0,0.0,410.0,0.0,2.0,0.0,0.0,8.0,,,1.0,,,,,,,0.0,15.0,4.0,0.0,0.0,0.0,,
a7706752171a,2022-01-15 00:00:00,16,0.0,0.0,0.0,2421.0,0.0,16.0,0.0,0.0,0.0,121.0,0.0,1.0,,,,,,,,,,,,4.15,114.0,39.0,3.7,1.0,0.142857142857143,2.0,4.8,5.0
a745212602258a,2021-06-03 00:00:00,4,0.0,0.0,0.0,1503.0,0.0,3.0,0.0,0.0,0.0,159.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,0.0,4.0,4.0,0.0,0.0,0.0,,
a2466264323a,2022-09-25 00:00:00,3,0.0,0.0,0.0,77.0,0.0,2.0,0.0,3.0,3.0,742.0,0.4,2.0,0.0,0.0,1.0,,,,,,,,,,0.0,2.0,4.5,0.0,4.8,5.0,,
a7728551510a,2022-04-28 00:00:00,161,4.0,2.0,6.0,17842.0,0.03,145.0,0.0,0.0,0.0,695.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,4.15,21338.0,5772.0,4.2448275862069,308.0,1.35836177474403,2943.0,,
a2311124588a,2022-10-12 00:00:00,8,1.0,0.0,1.0,4222.0,0.02,6.0,0.0,0.0,0.0,311.0,0.0,2.0,,,,,,,,,,,,4.9,448.0,183.0,4.5,0.0,2.0,1.0,,
a7801329625a,2022-01-18 00:00:00,3,76.0,0.0,76.0,631.0,12.04,3.0,10.0,0.0,10.0,644.0,1.55,2.0,,,,,,,,,,,,4.9,81.0,50.0,4.25,0.0,0.0,0.0,,
a434600791601a,2021-06-02 00:00:00,5,0.0,0.0,0.0,87.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,0.0,1.0,4.0,0.0,0.0,0.0,,
a3907058047a,2022-02-05 00:00:00,5,0.0,0.0,0.0,220.0,0.0,5.0,0.0,0.0,0.0,434.0,0.0,3.0,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,5.0,2.0
a450100094622a,2022-02-24 00:00:00,13,0.0,0.0,0.0,256.0,0.0,12.0,0.0,0.0,0.0,115.0,0.0,2.0,,,,,,,,,,,,4.3,8.0,3.0,4.3125,0.0,0.125,1.0,,
a0276980491a,2022-08-26 00:00:00,6,0.0,0.0,0.0,5146.0,0.0,6.0,0.0,0.0,0.0,1552.0,0.0,2.0,,,,,,,,,,,,4.5,18.0,10.0,4.0,0.0,0.0,0.0,,
a7727742456a,2021-12-11 00:00:00,8,0.0,0.0,0.0,1850.0,0.0,8.0,0.0,0.0,0.0,221.0,0.0,2.0,,,,,,,,,,,,4.4,10.0,8.0,4.5,1.0,0.0,0.0,,
a631306312332a,2022-09-11 00:00:00,4,0.0,0.0,0.0,376.0,0.0,4.0,0.0,0.0,0.0,209.0,0.0,3.0,0.0,0.0,5.0,,,,,,,,,3.7,18.0,5.0,,,0.0,0.0,,
a781616757657a,2022-10-31 00:00:00,3,0.0,0.0,0.0,1550.0,0.0,3.0,0.0,0.0,0.0,549.0,0.0,2.0,0.0,0.0,3.0,,,,,,,,,,,,4.16666666666667,0.0,5.0,2.0,,
a1326233517a,2022-11-02 00:00:00,4,0.0,0.0,0.0,2334.0,0.0,4.0,0.0,0.0,0.0,675.0,0.0,3.0,0.0,0.0,2.0,,,,,,,,,,,,4.5,0.0,0.0,0.0,,
a366322685170a,2022-10-02 00:00:00,4,0.0,0.0,0.0,559.0,0.0,2.0,0.0,0.0,0.0,434.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,4.5,0.0,0.0,0.0,,
a710521598498a,2021-06-03 00:00:00,4,0.0,0.0,0.0,119.0,0.0,4.0,1.0,0.0,1.0,323.0,0.31,2.0,0.0,0.0,1.0,,,,,,,,,,,,4.0,0.0,0.0,0.0,,
a8617033459a,2022-11-06 00:00:00,2,0.0,0.0,0.0,2006.0,0.0,2.0,0.0,0.0,0.0,1635.0,0.0,3.0,,,,,,,,3.0,3.0,1500.0,100.0,,,,,,,,,
a7733220144a,2022-05-14 00:00:00,8,0.0,0.0,0.0,3343.0,0.0,6.0,0.0,0.0,0.0,496.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0,0.0,2.6,5.0
a5027232382a,2022-01-26 00:00:00,5,0.0,0.0,0.0,1783.0,0.0,4.0,0.0,0.0,0.0,324.0,0.0,2.0,,,,,,,,,,,,4.7,28.0,13.0,,,0.0,0.0,,
a7709187506a,2022-08-29 00:00:00,4,0.0,0.0,0.0,971.0,0.0,3.0,4.0,0.0,4.0,1432.0,0.28,4.0,,,,,,,,,,,,,,,4.5,0.0,0.0,0.0,,
a3455054164a,2022-03-10 00:00:00,4,0.0,0.0,0.0,1673.0,0.0,4.0,0.0,0.0,0.0,394.0,0.0,2.0,,,,,,,,,,,,,,,4.5,0.0,0.0,0.0,,
a6450100503a,2020-11-21 00:00:00,3,0.0,0.0,0.0,85.0,0.0,2.0,0.0,0.0,0.0,57.0,0.0,1.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,
a6659056609a,2022-04-14 00:00:00,24,0.0,0.0,0.0,6023.0,0.0,23.0,0.0,0.0,0.0,336.0,0.0,2.0,,,,,,,,,,,,,,,4.25,0.0,0.0,0.0,,
a0276916418a,2022-08-29 00:00:00,1,0.0,0.0,0.0,1559.0,0.0,1.0,0.0,0.0,0.0,670.0,0.0,2.0,,,,,,,,,,,,,0.0,2.0,,,0.0,0.0,,
a5008004599a,2021-09-01 00:00:00,1,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,855.0,0.0,2.0,,,,,,,,,,,,,,,4.5,0.0,0.0,0.0,,
a2125005135a,2022-10-09 00:00:00,7,0.0,0.0,0.0,225.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,,,,,,,,,,,,4.1,24.0,6.0,4.5,0.0,,,,
a500807124752a,2021-05-04 00:00:00,7,0.0,0.0,0.0,1566.0,0.0,5.0,0.0,0.0,0.0,63.0,0.0,2.0,,,,,,,,,,,,4.4,27.0,17.0,,,0.0,0.0,,
a7817099617a,2022-10-29 00:00:00,1,0.0,0.0,0.0,880.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,4.0,0.0,,,,
a7415099310a,2022-09-14 00:00:00,4,0.0,0.0,0.0,1953.0,0.0,4.0,0.0,0.0,0.0,692.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,,
a6164266995a,2019-10-03 00:00:00,4,0.0,1.0,1.0,46.0,2.17,4.0,0.0,0.0,0.0,25.0,0.0,3.0,0.0,0.0,2.0,,,,,,,,,,,,4.5,0.0,,,,
a7805486700a,2022-10-08 00:00:00,8,0.0,0.0,0.0,6645.0,0.0,6.0,0.0,0.0,0.0,1140.0,0.0,3.0,0.0,0.0,7.0,,,,,,,,,,,,,,0.0,0.0,,
a9718084116a,2022-10-15 00:00:00,2,0.0,0.0,0.0,514.0,0.0,2.0,3.0,0.0,3.0,670.0,0.45,3.0,0.0,0.0,3.0,,,,,,,,,,0.0,0.0,,,,,,
a350601766632a,2022-11-02 00:00:00,3,0.0,0.0,0.0,1226.0,0.0,2.0,0.0,1.0,1.0,201.0,0.5,2.0,0.0,0.0,4.0,,,,,,,,,,,,4.0,0.0,,,,
a1658093743a,2022-08-26 00:00:00,3,0.0,0.0,0.0,923.0,0.0,3.0,,,,,,,,,,,,,,,,,,4.2,11.0,4.0,4.5,0.0,3.1,7.0,,
a3444106290a,2022-02-24 00:00:00,7,0.0,0.0,0.0,572.0,0.0,5.0,,,,,,,,,,,,,,,,,,4.6,84.0,30.0,2.5,3.0,0.0,0.0,,
a2225021010a,2022-01-24 00:00:00,31,0.0,0.0,0.0,1418.0,0.0,30.0,,,,,,,,,,,,,,,,,,4.33,89.0,29.0,4.28571428571429,0.0,3.0,2.0,,
a5940208487a,2022-05-23 00:00:00,3,0.0,0.0,0.0,641.0,0.0,3.0,,,,,,,,,,,,,,,,,,3.8,40.0,4.0,4.5,0.0,0.0,0.0,,
a5406987323a,2022-02-18 00:00:00,1,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,4.0,288.0,1.39,1.0,,,,,,,,,,,,,,,,,0.0,0.0,,
a7839394165a,2021-06-03 00:00:00,1,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,449.0,0.0,2.0,0.0,0.0,2.0,,,1.0,,,,,,,,,,,,,,
a7709955250a,2021-12-07 00:00:00,2,0.0,0.0,0.0,44.0,0.0,2.0,0.0,0.0,0.0,230.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,,
a1435130617a,2021-10-22 00:00:00,2,0.0,0.0,0.0,659.0,0.0,2.0,0.0,0.0,0.0,195.0,0.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,
a6168089391a,2022-10-14 00:00:00,3,2.0,0.0,2.0,4894.0,0.04,3.0,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0
a7716848644a,2022-08-29 00:00:00,1,1.0,1.0,2.0,1390.0,0.14,1.0,3.0,0.0,3.0,2991.0,0.1,4.0,0.0,0.0,3.0,,1.0,,,,,,,,,,,,,,,
a5243016724a,2022-10-07 00:00:00,7,0.0,0.0,0.0,1306.0,0.0,7.0,0.0,0.0,0.0,55.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0,0.0,,
a5047080709a,2022-06-01 00:00:00,9,2.0,0.0,2.0,2578.0,0.08,9.0,,,,,,,,,,,,,,,,,,4.34,4127.0,1089.0,4.33333333333333,1.0,1.5,2.0,,
a181302601451a,2022-11-04 00:00:00,2,0.0,0.0,0.0,180.0,0.0,2.0,0.0,0.0,0.0,62.0,0.0,2.0,0.0,0.0,3.0,,,1.0,,,,,,,,,,,,,,
a5260200603a,2020-11-12 00:00:00,426,0.0,2.0,2.0,17340.0,0.01,363.0,,,,,,,,,,,,,,,,,,1.19,2006.0,670.0,4.28571428571429,0.0,0.0462962962962963,3.0,,
a9715385732a,2021-12-07 00:00:00,1,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,294.0,0.0,1.0,,,,,,,,,,,,,,,5.0,2.0,,,,
a7718030212a,2020-10-29 00:00:00,3,0.0,0.0,0.0,190.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,,
